    1
Unconditional spectrum for stream    6
   1 0.00042
   2 0.00167
   3 0.00302
   4 0.00391
   5 0.00500
   6 0.00707
   7 0.01060
   8 0.01583
   9 0.02288
  10 0.03193
  11 0.04336
  12 0.05723
  13 0.07085
  14 0.07701
  15 0.07593
  16 0.07142
  17 0.06560
  18 0.05918
  19 0.05256
  20 0.04611
  21 0.04000
  22 0.03447
  23 0.02957
  24 0.02526
  25 0.14911
Conditional-on-size spectra for stream    6
   1 1.00000
   2 1.00000
   3 1.00000
   4 1.00000
   5 1.00000
   6 1.00000
   7 1.00000
   8 1.00000
   9 1.00000
  10 1.00000
  11 1.00000
  12 1.00000
  13 1.00000
  14 1.00000
  15 1.00000
  16 1.00000
  17 1.00000
  18 1.00000
  19 1.00000
  20 1.00000
  21 1.00000
  22 1.00000
  23 1.00000
  24 1.00000
  25 1.00000
