MODSIM_LIB1.1
12
0.000000 0.000038 0.69800 0.10060 0.02060 0.00710 0.02220 0.00120 0.00130 0.02220 0.00830 0.07370 0.04480 0.00000
0.000038 0.000045 0.67490 0.14560 0.04370 0.00420 0.01540 0.00000 0.01020 0.01240 0.02250 0.03260 0.03630 0.00230
0.000045 0.000053 0.49580 0.33880 0.02430 0.01060 0.00900 0.01040 0.01620 0.01120 0.01530 0.02700 0.04130 0.00000
0.000053 0.000075 0.47500 0.22530 0.08980 0.11030 0.00410 0.00130 0.00140 0.00150 0.03330 0.00980 0.00300 0.04530
0.000075 0.000106 0.27780 0.40040 0.08340 0.17400 0.00000 0.00020 0.00010 0.00050 0.00040 0.00020 0.01560 0.04750
0.000106 0.000180 0.27630 0.29320 0.27750 0.03600 0.10260 0.00520 0.00120 0.00040 0.00330 0.00420 0.00000 0.00000
0.000180 0.000250 0.43710 0.18860 0.26300 0.08070 0.02090 0.00150 0.00160 0.00160 0.00160 0.00170 0.00180 0.00000
0.000250 0.000355 0.08230 0.32070 0.50700 0.07270 0.00780 0.00140 0.00150 0.00170 0.00150 0.00160 0.00170 0.00000
0.000355 0.000500 0.04870 0.57820 0.14180 0.21800 0.00530 0.00020 0.00250 0.00180 0.00200 0.00150 0.00000 0.00000
0.000500 0.000710 0.00000 0.52870 0.35920 0.10020 0.00270 0.00140 0.00140 0.00150 0.00150 0.00160 0.00170 0.00000
0.000710 0.001000 0.00410 0.20580 0.77740 0.00640 0.00010 0.00030 0.00000 0.00130 0.00150 0.00150 0.00160 0.00000
