MODSIM_LIB1.1
12
0.000000 0.000038 0.03180 0.00000 0.00600 0.00000 0.00150 0.00120 0.00090 0.00350 0.00210 0.18400 0.56850 0.20060
0.000038 0.000045 0.00240 0.00390 0.00450 0.01550 0.01930 0.00180 0.00080 0.00040 0.00280 0.16350 0.42730 0.35790
0.000045 0.000053 0.00530 0.00210 0.04700 0.01080 0.01540 0.03920 0.01530 0.01580 0.02040 0.02570 0.80180 0.00130
0.000053 0.000075 0.01350 0.03120 0.01310 0.06010 0.02060 0.02000 0.00000 0.00030 0.04400 0.19880 0.48220 0.11620
0.000075 0.000106 0.04520 0.05300 0.04960 0.08270 0.04190 0.24410 0.04720 0.05140 0.06220 0.23300 0.08980 0.00000
0.000106 0.000180 0.00010 0.15000 0.31470 0.24950 0.22930 0.04810 0.00050 0.00000 0.00000 0.00030 0.00010 0.00740
0.000180 0.000250 0.00960 0.21180 0.22640 0.43580 0.09310 0.01690 0.00410 0.00150 0.00070 0.00000 0.00010 0.00000
0.000250 0.000355 0.00000 0.05530 0.05220 0.39320 0.39760 0.09590 0.00000 0.00220 0.00290 0.00060 0.00000 0.00000
0.000355 0.000500 0.00030 0.00070 0.03920 0.38120 0.48760 0.08550 0.00090 0.00160 0.00140 0.00160 0.00000 0.00000
0.000500 0.000710 0.00000 0.00100 0.06730 0.58900 0.32350 0.01180 0.00140 0.00150 0.00160 0.00140 0.00150 0.00000
0.000710 0.001000 0.00030 0.00080 0.32530 0.65470 0.01010 0.00130 0.00140 0.00150 0.00150 0.00150 0.00160 0.00000
