PSD_PLOT
 4 
 1 
 2 
 3 
 8 
 6 
 2 
Data set       1             24           Cobber Concentrate
8077.0000     99.9200
5705.0000     99.2800
4039.0000     96.6800
2852.0000     89.3100
2020.0000     77.7600
1426.0000     66.0500
1010.0000     53.8700
712.9000      43.5400
504.9000      36.2400
356.5000      29.9400
252.4000      24.9000
178.2000      21.0800
126.3000      18.0500
89.1600       15.1700
63.0900       12.3600
44.5800       9.9130
31.5500       6.3160
22.2900       4.0240
15.7700       2.5640
11.1500       1.6340
7.8830        1.0410
5.5750        0.6631
3.9420        0.4225
2.7880        0.2692
Data set       2             24           Ball Mill feed
8077.0000     99.9600
5705.0000     99.6900
4039.0000     98.5700
2852.0000     95.4100
2020.0000     90.4100
1426.0000     85.1700
1010.0000     79.3700
712.9000      73.7300
504.9000      68.4800
356.5000      62.2100
252.4000      54.5200
178.2000      44.7300
126.3000      32.0400
89.1600       19.9500
63.0900       11.9600
44.5800       8.5860
31.5500       5.9810
22.2900       4.2940
15.7700       3.1450
11.1500       2.3440
7.8830        1.7750
5.5750        1.3650
3.9420        1.0640
2.7880        0.8394
Data set       3             24           Ball Mill Discharge
8077.0000     100.0000
5705.0000     99.9900
4039.0000     99.9800
2852.0000     99.9600
2020.0000     99.8600
1426.0000     99.6000
1010.0000     98.9600
712.9000      97.6400
504.9000      95.3200
356.5000      91.3700
252.4000      85.1300
178.2000      75.9000
126.3000      62.8900
89.1600       48.4600
63.0900       36.3500
44.5800       28.3700
31.5500       21.8900
22.2900       17.0500
15.7700       13.3900
11.1500       10.6200
7.8830        8.4990
5.5750        6.8620
3.9420        5.5830
2.7880        4.5720
Data set       8             24           Cyclone Overflow
8077.0000     100.0000
5705.0000     100.0000
4039.0000     100.0000
2852.0000     100.0000
2020.0000     100.0000
1426.0000     100.0000
1010.0000     100.0000
712.9000      100.0000
504.9000      100.0000
356.5000      99.9800
252.4000      99.8700
178.2000      99.2000
126.3000      95.4900
89.1600       83.4500
63.0900       65.3100
44.5800       49.1000
31.5500       35.5500
22.2900       25.8500
15.7700       19.0500
11.1500       14.3100
7.8830        10.9600
5.5750        8.5680
3.9420        6.8130
2.7880        5.4990
