PSD_PLOT
1, 1, 0, 2
Data set  1, 7 
Mill contents                 
 0.15 ,  0.9617 
 0.13 ,  0.9309 
 0.1 ,  0.8568 
 0.076 ,  0.7662 
 0.05 ,  0.7087 
 0.025 ,  0.663 
 0.012 ,  0.6246 
