Bougainville
Number of classes   25    1    1
Number of streams     9

Data input flags
TTTTTTTTT

Flags to indicate solids in the streams
TTTTTTTFF

Representative sizes
   0.2000E-01   0.1414E-01   0.1000E-01   0.7071E-02   0.5000E-02   0.3536E-02
   0.2500E-02   0.1768E-02   0.1250E-02   0.8839E-03   0.6250E-03   0.4419E-03
   0.3125E-03   0.2210E-03   0.1562E-03   0.1105E-03   0.7812E-04   0.5524E-04
   0.3906E-04   0.2762E-04   0.1953E-04   0.1381E-04   0.9766E-05   0.6905E-05
   0.4883E-05

Mesh sizes
   0.1684E-01   0.1187E-01   0.8421E-02   0.5937E-02   0.4211E-02   0.2969E-02
   0.2105E-02   0.1485E-02   0.1052E-02   0.7426E-03   0.5260E-03   0.3712E-03
   0.2631E-03   0.1857E-03   0.1314E-03   0.9291E-04   0.6568E-04   0.4646E-04
   0.3284E-04   0.2323E-04   0.1642E-04   0.1162E-04   0.8211E-05   0.5807E-05
    0.000    
Stream    1
   0.9985       0.9800       0.9049       0.7573       0.6048       0.5098    
   0.4299       0.3730       0.3249       0.2881       0.2561       0.2293    
   0.2042       0.1804       0.1597       0.1420       0.1248       0.9991E-01
   0.7065E-01   0.4995E-01   0.3532E-01   0.2498E-01   0.1766E-01   0.1249E-01
    0.000    
Stream    2
   0.9985       0.9800       0.9049       0.7573       0.6048       0.5098    
   0.4299       0.3730       0.3249       0.2881       0.2561       0.2293    
   0.2042       0.1804       0.1597       0.1420       0.1248       0.9991E-01
   0.7065E-01   0.4995E-01   0.3532E-01   0.2498E-01   0.1766E-01   0.1249E-01
    0.000    
Stream    3
   0.9983       0.9814       0.9221       0.8141       0.7033       0.6279    
   0.5605       0.5042       0.4485       0.3914       0.3242       0.2583    
   0.2268       0.1989       0.1721       0.1479       0.1255       0.9986E-01
   0.7314E-01   0.5367E-01   0.3949E-01   0.2914E-01   0.2157E-01   0.1601E-01
    0.000    
Stream    4
   0.9991       0.9921       0.9730       0.9440       0.9147       0.8902    
   0.8655       0.8397       0.8095       0.7721       0.7214       0.6552    
   0.5870       0.5116       0.4333       0.3593       0.2932       0.2318    
   0.1766       0.1347       0.1029       0.7887E-01   0.6059E-01   0.4663E-01
    0.000    
Stream    5
   0.9991       0.9921       0.9730       0.9440       0.9147       0.8902    
   0.8655       0.8397       0.8095       0.7721       0.7214       0.6552    
   0.5870       0.5116       0.4333       0.3593       0.2932       0.2318    
   0.1766       0.1347       0.1029       0.7887E-01   0.6059E-01   0.4663E-01
    0.000    
Stream    6
   0.9980       0.9830       0.9420       0.8796       0.8169       0.7641    
   0.7110       0.6556       0.5908       0.5104       0.4025       0.2914    
   0.2526       0.2198       0.1862       0.1544       0.1260       0.9961E-01
   0.7588E-01   0.5786E-01   0.4422E-01   0.3389E-01   0.2603E-01   0.2004E-01
    0.000    
Stream    7
    1.000        1.000        1.000        1.000        1.000        1.000    
    1.000        1.000        1.000        1.000       0.9991       0.9720    
   0.8782       0.7658       0.6485       0.5377       0.4388       0.3470    
   0.2643       0.2015       0.1540       0.1180       0.9068E-01   0.6980E-01
    0.000    
Stream    8
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000    
Stream    9
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000        0.000        0.000        0.000        0.000        0.000    
    0.000    
