    1
Unconditional spectrum for stream    6
   1 0.00201
   2 0.01499
   3 0.04097
   4 0.06240
   5 0.06274
   6 0.05277
   7 0.05298
   8 0.05546
   9 0.06471
  10 0.08040
  11 0.10777
  12 0.11104
  13 0.03879
  14 0.03276
  15 0.03371
  16 0.03185
  17 0.02843
  18 0.02641
  19 0.02378
  20 0.01805
  21 0.01366
  22 0.01035
  23 0.00787
  24 0.00601
  25 0.02007
Conditional-on-size spectra for stream    6
   1 1.00000
   2 1.00000
   3 1.00000
   4 1.00000
   5 1.00000
   6 1.00000
   7 1.00000
   8 1.00000
   9 1.00000
  10 1.00000
  11 1.00000
  12 1.00000
  13 1.00000
  14 1.00000
  15 1.00000
  16 1.00000
  17 1.00000
  18 1.00000
  19 1.00000
  20 1.00000
  21 1.00000
  22 1.00000
  23 1.00000
  24 1.00000
  25 1.00000
