PSD_PLOT
  5
  1
  2
  3
  6
  4
  6
  1
Data set     1   24  Plant feed                   
 8422.      98.63    
 5936.      94.09    
 4211.      84.53    
 2969.      70.80    
 2105.      55.62    
 1485.      41.48    
 1052.      29.77    
 742.5      20.80    
 526.1      14.27    
 371.2      9.652    
 263.1      6.479    
 185.6      4.326    
 131.4      2.872    
 92.90      1.908    
 65.69      1.259    
 46.45      .8369    
 32.84      .5494    
 23.23      .3638    
 16.42      .2450    
 11.61      .1733    
 8.212      .1225    
 5.806      .8662E-01
 4.107      .6124E-01
 2.903      .4331E-01
Data set     2   24  Hydrocyclone feed            
 8422.      98.31    
 5936.      94.71    
 4211.      89.30    
 2969.      83.07    
 2105.      76.93    
 1485.      71.47    
 1052.      66.92    
 742.5      63.23    
 526.1      60.17    
 371.2      57.47    
 263.1      54.86    
 185.6      52.08    
 131.4      48.87    
 92.90      45.22    
 65.69      41.28    
 46.45      37.27    
 32.84      33.29    
 23.23      29.44    
 16.42      25.81    
 11.61      22.45    
 8.212      19.42    
 5.806      16.72    
 4.107      14.36    
 2.903      12.30    
Data set     3   24  Ball mill feed               
 8422.      97.47    
 5936.      92.07    
 4211.      83.98    
 2969.      74.64    
 2105.      65.45    
 1485.      57.27    
 1052.      50.46    
 742.5      44.93    
 526.1      40.35    
 371.2      36.31    
 263.1      32.40    
 185.6      28.23    
 131.4      23.55    
 92.90      19.10    
 65.69      15.74    
 46.45      13.39    
 32.84      11.60    
 23.23      10.12    
 16.42      8.815    
 11.61      7.649    
 8.212      6.608    
 5.806      5.687    
 4.107      4.882    
 2.903      4.183    
Data set     6   24  Ball mill discharge          
 8422.      98.15    
 5936.      95.01    
 4211.      91.67    
 2969.      89.16    
 2105.      87.52    
 1485.      86.38    
 1052.      85.39    
 742.5      84.32    
 526.1      82.99    
 371.2      81.24    
 263.1      78.91    
 185.6      75.81    
 131.4      71.74    
 92.90      66.74    
 65.69      61.17    
 46.45      55.37    
 32.84      49.56    
 23.23      43.89    
 16.42      38.51    
 11.61      33.52    
 8.212      29.01    
 5.806      24.98    
 4.107      21.46    
 2.903      18.39    
Data set     4   24  Hydrocyclone overflow        
 8422.      100.0    
 5936.      100.0    
 4211.      100.0    
 2969.      100.0    
 2105.      100.0    
 1485.      100.0    
 1052.      100.0    
 742.5      100.0    
 526.1      100.0    
 371.2      100.0    
 263.1      100.0    
 185.6      100.0    
 131.4      99.76    
 92.90      97.70    
 65.69      92.60    
 46.45      85.25    
 32.84      76.86    
 23.23      68.27    
 16.42      59.95    
 11.61      52.21    
 8.212      45.17    
 5.806      38.90    
 4.107      33.40    
 2.903      28.62    
