PSD_PLOT
1, 1, 0, 2
Data set  1, 24 
Screen oversize
 168 ,  100 
 119 ,  100 
 84.1 ,  100 
 59.5 ,  100 
 42 ,  100 
 29.7 ,  100 
 21 ,  100 
 14.9 ,  100 
 10.5 ,  100 
 7.44 ,  100 
 5.25 ,  100 
 3.72 ,  97.74 
 2.63 ,  85.65 
 1.86 ,  74.39 
 1.31 ,  60.37 
 0.929 ,  46.04 
 0.657 ,  28.52 
 0.465 ,  13.93 
 0.328 ,  12.83 
 0.232 ,  11.64 
 0.164 ,  10.38 
 0.116 ,  9.13 
 0.0821 ,  7.91 
 0.0581 ,  6.78 
