PSD_PLOT from MODSIM
1, 1, 0, 2
Data set  1, 24 
Exercise 2-2 Overflow PSD
 0.00168 ,  100 
 0.00119 ,  100 
 0.000841 ,  100 
 0.000595 ,  100 
 0.00042 ,  100 
 0.000297 ,  100 
 0.00021 ,  99.981 
 0.000149 ,  99.005 
 0.000105 ,  92.768 
 0.0000744 ,  79.315 
 0.0000525 ,  62.309 
 0.0000372 ,  47.979 
 0.0000263 ,  36.018 
 0.0000186 ,  26.673 
 0.0000131 ,  19.613 
 9.29E-06 ,  14.369 
 6.57E-06 ,  10.508 
 4.65E-06 ,  7.677 
 3.28E-06 ,  5.606 
 2.32E-06 ,  4.093 
 1.64E-06 ,  2.987 
 1.16E-06 ,  2.181 
 8.21E-07 ,  1.592 
 5.81E-07 ,  1.162 
