PSD_PLOT
 5 
 1 
 2 
 3 
 6 
 4 
 6 
 1 
Data set       1             24           Plant feed
8422.0000     98.6300
5936.0000     94.0900
4211.0000     84.5300
2969.0000     70.8000
2105.0000     55.6200
1485.0000     41.4800
1052.0000     29.7700
742.5000      20.8000
526.1000      14.2700
371.2000      9.6520
263.1000      6.4790
185.6000      4.3260
131.4000      2.8720
92.9000       1.9080
65.6900       1.2590
46.4500       0.8369
32.8400       0.5494
23.2300       0.3638
16.4200       0.2450
11.6100       0.1733
8.2120        0.1225
5.8060        0.0866
4.1070        0.0612
2.9030        0.0433
Data set       2             24           Hydrocyclone feed
8422.0000     98.3100
5936.0000     94.7000
4211.0000     89.2900
2969.0000     83.0500
2105.0000     76.9100
1485.0000     71.4500
1052.0000     66.8900
742.5000      63.2000
526.1000      60.1400
371.2000      57.4400
263.1000      54.8200
185.6000      52.0400
131.4000      48.8300
92.9000       45.1700
65.6900       41.2400
46.4500       37.2300
32.8400       33.2500
23.2300       29.4000
16.4200       25.7700
11.6100       22.4200
8.2120        19.3900
5.8060        16.7000
4.1070        14.3300
2.9030        12.2900
Data set       3             24           Ball mill feed
8422.0000     97.4700
5936.0000     92.0700
4211.0000     83.9700
2969.0000     74.6300
2105.0000     65.4300
1485.0000     57.2500
1052.0000     50.4400
742.5000      44.9000
526.1000      40.3200
371.2000      36.2800
263.1000      32.3700
185.6000      28.2000
131.4000      23.5100
92.9000       19.0600
65.6900       15.7100
46.4500       13.3600
32.8400       11.5800
23.2300       10.1000
16.4200       8.7960
11.6100       7.6320
8.2120        6.5930
5.8060        5.6740
4.1070        4.8700
2.9030        4.1740
Data set       6             24           Ball mill discharge
8422.0000     98.1500
5936.0000     95.0100
4211.0000     91.6700
2969.0000     89.1500
2105.0000     87.5200
1485.0000     86.3700
1052.0000     85.3800
742.5000      84.3100
526.1000      82.9800
371.2000      81.2300
263.1000      78.9000
185.6000      75.8000
131.4000      71.7200
92.9000       66.7200
65.6900       61.1500
46.4500       55.3600
32.8400       49.5400
23.2300       43.8700
16.4200       38.4900
11.6100       33.5100
8.2120        29.0000
5.8060        24.9700
4.1070        21.4500
2.9030        18.3900
Data set       4             24           Hydrocyclone overflow
8422.0000     100.0000
5936.0000     100.0000
4211.0000     100.0000
2969.0000     100.0000
2105.0000     100.0000
1485.0000     100.0000
1052.0000     100.0000
742.5000      100.0000
526.1000      100.0000
371.2000      100.0000
263.1000      100.0000
185.6000      100.0000
131.4000      99.7600
92.9000       97.7000
65.6900       92.5800
46.4500       85.2300
32.8400       76.8400
23.2300       68.2400
16.4200       59.9300
11.6100       52.1800
8.2120        45.1400
5.8060        38.8700
4.1070        33.3800
2.9030        28.6000
