MODSIM_LIB1.1
12
0.000000 0.000038 0.29240 0.00090 0.02190 0.00070 0.00900 0.00040 0.00090 0.00580 0.00610 0.30970 0.11880 0.23340
0.000038 0.000045 0.12910 0.02100 0.01970 0.00000 0.02000 0.00780 0.00610 0.01730 0.02070 0.12370 0.48740 0.14720
0.000045 0.000053 0.12790 0.10330 0.00150 0.01760 0.03260 0.00090 0.00090 0.00100 0.03030 0.13710 0.54680 0.00010
0.000053 0.000075 0.07110 0.04450 0.04320 0.00000 0.03820 0.00080 0.00090 0.00090 0.00550 0.16390 0.63050 0.00050
0.000075 0.000106 0.00000 0.15340 0.00950 0.04020 0.05950 0.00520 0.04560 0.05860 0.14270 0.22860 0.25180 0.00480
0.000106 0.000180 0.00000 0.09970 0.06220 0.07850 0.26420 0.03490 0.05340 0.03480 0.07630 0.29360 0.00220 0.00000
0.000180 0.000250 0.00170 0.13450 0.03460 0.31830 0.10180 0.11780 0.09460 0.12660 0.05590 0.01230 0.00190 0.00000
0.000250 0.000355 0.00000 0.06710 0.08550 0.38910 0.15820 0.19040 0.10550 0.00110 0.00160 0.00150 0.00000 0.00000
0.000355 0.000500 0.00120 0.02890 0.16270 0.16340 0.63290 0.00690 0.00160 0.00060 0.00000 0.00130 0.00050 0.00000
0.000500 0.000710 0.00000 0.00100 0.00320 0.62460 0.34400 0.01990 0.00130 0.00140 0.00160 0.00140 0.00150 0.00000
0.000710 0.001000 0.00000 0.00100 0.19580 0.56970 0.22540 0.00060 0.00140 0.00150 0.00160 0.00150 0.00150 0.00000
