MODSIM_LIB1.1
12
0.000000 0.000038 0.03610 0.00000 0.00260 0.01700 0.01060 0.00080 0.00080 0.00090 0.03740 0.02780 0.55350 0.31250
0.000038 0.000045 0.00390 0.03340 0.00000 0.02060 0.00400 0.00430 0.01150 0.00100 0.02500 0.00170 0.77060 0.12400
0.000045 0.000053 0.01300 0.01890 0.01740 0.02080 0.00260 0.00550 0.00400 0.00000 0.00150 0.26330 0.61760 0.03550
0.000053 0.000075 0.00410 0.02640 0.03260 0.02640 0.00420 0.00870 0.00000 0.06260 0.04830 0.21600 0.56020 0.01040
0.000075 0.000106 0.01380 0.00930 0.03290 0.02020 0.01350 0.05210 0.03270 0.02300 0.10400 0.31670 0.31220 0.06990
0.000106 0.000180 0.01290 0.02630 0.02750 0.18240 0.05550 0.06150 0.05530 0.15360 0.11150 0.26360 0.05000 0.00010
0.000180 0.000250 0.00000 0.06320 0.02890 0.14310 0.21450 0.11260 0.12150 0.17260 0.02850 0.10570 0.00930 0.00000
0.000250 0.000355 0.00000 0.00090 0.12370 0.10520 0.42580 0.14770 0.16270 0.01360 0.01710 0.00140 0.00180 0.00000
0.000355 0.000500 0.00000 0.00090 0.00800 0.48340 0.40810 0.09110 0.00260 0.00340 0.00100 0.00000 0.00000 0.00140
0.000500 0.000710 0.00000 0.00100 0.13780 0.53320 0.32170 0.00150 0.00110 0.00000 0.00070 0.00130 0.00180 0.00000
0.000710 0.001000 0.00000 0.00100 0.01210 0.77230 0.20360 0.00390 0.00140 0.00140 0.00140 0.00140 0.00150 0.00000
