MODSIM_LIB1.1
12
0.000000 0.000038 0.03590 0.00000 0.00010 0.00030 0.02420 0.00080 0.00290 0.01980 0.01280 0.13050 0.41940 0.35320
0.000038 0.000045 0.00680 0.02900 0.01140 0.00920 0.01410 0.00940 0.00650 0.01240 0.00850 0.06390 0.28400 0.54490
0.000045 0.000053 0.01250 0.01830 0.00990 0.00150 0.01180 0.00790 0.00590 0.00090 0.00000 0.21790 0.55980 0.15370
0.000053 0.000075 0.03510 0.02580 0.01510 0.03690 0.02680 0.01170 0.00090 0.01770 0.07550 0.21330 0.54120 0.00010
0.000075 0.000106 0.05380 0.01190 0.18530 0.04390 0.13860 0.09710 0.02470 0.01010 0.04760 0.28480 0.10210 0.00000
0.000106 0.000180 0.02760 0.21280 0.31330 0.00880 0.37590 0.05600 0.00000 0.00000 0.00020 0.00000 0.00130 0.00400
0.000180 0.000250 0.00000 0.20080 0.24960 0.07200 0.47150 0.00180 0.00220 0.00050 0.00080 0.00000 0.00080 0.00000
0.000250 0.000355 0.00000 0.03620 0.04650 0.31040 0.33110 0.15650 0.10650 0.01000 0.00200 0.00080 0.00000 0.00000
0.000355 0.000500 0.00000 0.02980 0.09290 0.16310 0.63030 0.06190 0.01640 0.00210 0.00130 0.00000 0.00220 0.00000
0.000500 0.000710 0.00000 0.00100 0.29920 0.61150 0.07940 0.00140 0.00140 0.00150 0.00150 0.00150 0.00160 0.00000
