MODSIM_LIB1.1
12
0.000000 0.000038 0.02670 0.02070 0.02310 0.00000 0.00020 0.00140 0.00260 0.01270 0.02620 0.07970 0.79090 0.01570
0.000038 0.000045 0.01570 0.02270 0.01740 0.00840 0.00300 0.00400 0.02480 0.01010 0.01380 0.08950 0.52980 0.26070
0.000045 0.000053 0.01960 0.01960 0.01390 0.03080 0.03650 0.00000 0.00090 0.00100 0.00230 0.18370 0.55360 0.13810
0.000053 0.000075 0.00610 0.02490 0.00200 0.03540 0.01300 0.05310 0.00080 0.00080 0.00230 0.25870 0.55910 0.04380
0.000075 0.000106 0.01090 0.02910 0.03720 0.07480 0.05950 0.03230 0.02630 0.00810 0.03050 0.20500 0.48620 0.00010
0.000106 0.000180 0.00000 0.06070 0.04440 0.08680 0.10140 0.01690 0.06060 0.12770 0.28090 0.21860 0.00160 0.00040
0.000180 0.000250 0.00000 0.09400 0.03810 0.11360 0.21250 0.26830 0.05360 0.08620 0.04970 0.05000 0.03400 0.00000
0.000250 0.000355 0.00000 0.00090 0.00260 0.34490 0.21770 0.25410 0.16960 0.00580 0.00150 0.00160 0.00140 0.00000
0.000355 0.000500 0.00000 0.00100 0.01040 0.42020 0.35910 0.13420 0.06550 0.00590 0.00170 0.00090 0.00110 0.00000
0.000500 0.000710 0.00000 0.00100 0.01090 0.44650 0.47830 0.03930 0.02030 0.00200 0.00080 0.00100 0.00000 0.00000
0.000710 0.001000 0.00000 0.00100 0.00560 0.24130 0.73720 0.00990 0.00210 0.00000 0.00030 0.00110 0.00160 0.00000
